Epoch 6/400: [===============] 100% | Error 38.7033 | Acc: 0.0538889 AT 19.1578 | val_Acc 0.145 | val_AT 17.72| nb_modif 6 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 39.6589 | Acc: 0.282222 AT 15.5544 | val_Acc 0.295 | val_AT 15.2636| nb_modif 6 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 40.0741 | Acc: 0.45 AT 12.6694 | val_Acc 0.46 | val_AT 12.5913| nb_modif 5 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 40.322 | Acc: 0.475 AT 12.4483 | val_Acc 0.385 | val_AT 13.913| nb_modif 5 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 40.4563 | Acc: 0.396667 AT 13.7328 | val_Acc 0.42 | val_AT 13.2346| nb_modif 4 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 40.6005 | Acc: 0.360556 AT 14.4122 | val_Acc 0.405 | val_AT 13.6912| nb_modif 6 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 40.6861 | Acc: 0.373889 AT 14.01 | val_Acc 0.42 | val_AT 13.3135| nb_modif 5 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 40.7563 | Acc: 0.385 AT 13.7733 | val_Acc 0.325 | val_AT 14.6466| nb_modif 5 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 40.8014 | Acc: 0.367222 AT 14.0622 | val_Acc 0.43 | val_AT 12.9482| nb_modif 4 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 40.8484 | Acc: 0.369444 AT 14.045 | val_Acc 0.325 | val_AT 14.6797| nb_modif 5 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 40.8891 | Acc: 0.359444 AT 14.2494 | val_Acc 0.35 | val_AT 14.4984| nb_modif 5 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 40.9202 | Acc: 0.374444 AT 14.0933 | val_Acc 0.395 | val_AT 13.7725| nb_modif 5 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 40.9507 | Acc: 0.337778 AT 14.6111 | val_Acc 0.35 | val_AT 14.2789| nb_modif 6 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 40.9884 | Acc: 0.355556 AT 14.3639 | val_Acc 0.26 | val_AT 15.7214| nb_modif 5 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 41.0174 | Acc: 0.29 AT 15.4189 | val_Acc 0.265 | val_AT 16.0036| nb_modif 4 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 41.0347 | Acc: 0.295556 AT 15.4867 | val_Acc 0.335 | val_AT 14.68| nb_modif 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 41.052 | Acc: 0.296667 AT 15.2056 | val_Acc 0.325 | val_AT 14.7884| nb_modif 6 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 41.0641 | Acc: 0.349444 AT 14.5072 | val_Acc 0.345 | val_AT 14.6289| nb_modif 5 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 41.0747 | Acc: 0.342778 AT 14.7306 | val_Acc 0.315 | val_AT 15.3431| nb_modif 5 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 41.0862 | Acc: 0.269444 AT 15.875 | val_Acc 0.31 | val_AT 15.3067| nb_modif 6 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 41.1141 | Acc: 0.3 AT 15.4767 | val_Acc 0.275 | val_AT 15.8565| nb_modif 5 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 41.122 | Acc: 0.288333 AT 15.6189 | val_Acc 0.26 | val_AT 15.9093| nb_modif 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 41.1291 | Acc: 0.268333 AT 15.8994 | val_Acc 0.25 | val_AT 16.1995| nb_modif 5 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 41.1763 | Acc: 0.262778 AT 15.9328 | val_Acc 0.35 | val_AT 14.606| nb_modif 6 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 41.2406 | Acc: 0.288333 AT 15.5644 | val_Acc 0.26 | val_AT 16.043| nb_modif 5 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 41.2694 | Acc: 0.283333 AT 15.585 | val_Acc 0.3 | val_AT 15.5352| nb_modif 5 | elaps: 0s
